Time(sec),A3UTSRN8QLKWE
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-100.0
19.0,-100.0
20.0,-100.0
21.0,-100.0
22.0,-100.0
23.0,-100.0
24.0,-100.0
25.0,-100.0
26.0,-100.0
27.0,-100.0
28.0,-100.0
29.0,-100.0
30.0,-100.0
31.0,-100.0
32.0,-100.0
33.0,-100.0
34.0,-100.0
35.0,-100.0
36.0,-100.0
37.0,-100.0
38.0,-100.0
39.0,-100.0
40.0,-100.0
41.0,-100.0
42.0,-100.0
43.0,-100.0
44.0,-100.0
45.0,-100.0
46.0,-100.0
47.0,-100.0
48.0,-100.0
49.0,-100.0
50.0,-100.0
51.0,-100.0
52.0,-100.0
53.0,-100.0
54.0,-100.0
55.0,-100.0
56.0,-100.0
57.0,-100.0
58.0,-100.0
59.0,-100.0
60.0,-100.0
61.0,-100.0
62.0,-100.0
63.0,-100.0
64.0,-100.0
65.0,-100.0
66.0,-100.0
67.0,-100.0
68.0,-100.0
69.0,-100.0
70.0,-100.0
71.0,-100.0
72.0,-100.0
73.0,-100.0
74.0,-100.0
75.0,-100.0
76.0,-100.0
77.0,-100.0
78.0,-100.0
79.0,-100.0
80.0,-100.0
81.0,-100.0
82.0,-100.0
83.0,-100.0
84.0,-100.0
85.0,-100.0
86.0,-100.0
87.0,-98.57805555555555
88.0,-90.35353535353536
89.0,-85.04545454545455
90.0,-85.04545454545455
91.0,-85.04545454545455
92.0,-85.04545454545455
93.0,-85.04545454545455
94.0,-85.04545454545455
95.0,-85.04545454545455
96.0,-77.62689754689754
97.0,-7.145833333333333
98.0,-42.32560606060606
99.0,-83.28
100.0,-24.767261904761902
101.0,84.53888888888889
102.0,41.05833333333333
103.0,-68.44181818181818
104.0,-94.54545454545455
105.0,-89.46181818181819
106.0,-86.66666666666667
107.0,-86.66666666666667
108.0,-86.66666666666667
109.0,-86.66666666666667
110.0,-86.66666666666667
111.0,-86.66666666666667
112.0,-86.66666666666667
113.0,-86.66666666666667
114.0,-82.73333333333333
115.0,9.503333333333334
116.0,76.60952380952381
117.0,-38.35333333333333
118.0,-98.375
119.0,-99.6
120.0,-99.99692307692308
121.0,-99.8923076923077
122.0,-99.73846153846154
123.0,-99.58461538461538
124.0,-88.07
125.0,-86.8
126.0,-86.8
127.0,-86.8
128.0,-86.8
129.0,-86.8
130.0,-86.8
131.0,-86.8
132.0,-86.8
133.0,-86.8
134.0,-47.83833333333333
135.0,67.91
136.0,50.59222222222222
137.0,-67.19
138.0,-86.66666666666667
139.0,-86.66666666666667
140.0,-87.9
141.0,-99.9
142.0,-99.9755
143.0,-99.88
144.0,-99.78
145.0,-99.67999999999999
146.0,-99.58
147.0,-91.9545
148.0,-87.8
149.0,-87.8
150.0,-87.8
151.0,-87.8
152.0,-87.8
153.0,-87.8
154.0,-16.803333333333335
155.0,83.68333333333334
156.0,4.298333333333334
157.0,-84.75
158.0,-90.0
159.0,-90.0
160.0,-92.65
161.0,-100.0
162.0,-100.0
163.0,-100.0
164.0,-100.0
165.0,-100.0
166.0,-100.0
167.0,-100.0
168.0,-100.0
169.0,-100.0
