Time(sec),A3TUMZ954ORSU
0.0,-100.0
1.0,-100.0
2.0,-100.0
3.0,-100.0
4.0,-100.0
5.0,-100.0
6.0,-100.0
7.0,-100.0
8.0,-100.0
9.0,-100.0
10.0,-100.0
11.0,-100.0
12.0,-100.0
13.0,-100.0
14.0,-100.0
15.0,-100.0
16.0,-100.0
17.0,-100.0
18.0,-100.0
19.0,-100.0
20.0,-100.0
21.0,-100.0
22.0,-100.0
23.0,-100.0
24.0,-100.0
25.0,-100.0
26.0,-100.0
27.0,-100.0
28.0,-74.16881265096619
29.0,-57.0
30.0,-57.0
31.0,-57.0
32.0,-57.0
33.0,-57.0
34.0,-57.0
35.0,-57.0
36.0,-57.0
37.0,-57.0
38.0,-57.0
39.0,-57.0
40.0,-57.0
41.0,-57.0
42.0,-57.0
43.0,-57.0
44.0,-66.28181818181818
45.0,-76.020202020202
46.0,-76.82828282828282
47.0,-77.63636363636364
48.0,-78.0
49.0,-78.0
50.0,-78.0
51.0,-78.0
52.0,-78.0
53.0,-78.0
54.0,-78.0
55.0,-78.0
56.0,-78.0
57.0,-78.0
58.0,-78.0
59.0,-78.0
60.0,-73.90717836257309
61.0,-37.296476608187135
62.0,-34.0
63.0,-34.0
64.0,-34.0
65.0,-34.0
66.0,-34.0
67.0,-34.0
68.0,-34.0
69.0,-34.0
70.0,-34.0
71.0,-34.0
72.0,-34.0
73.0,-34.0
74.0,-34.0
75.0,-34.0
76.0,-34.0
77.0,-34.0
78.0,-34.0
79.0,-34.0
80.0,-34.0
81.0,-34.0
82.0,-34.0
83.0,-34.0
84.0,-34.0
85.0,-34.0
86.0,-34.0
87.0,-34.0
88.0,-34.0
89.0,-34.0
90.0,-34.0
91.0,-34.0
92.0,-34.0
93.0,-34.0
94.0,-34.0
95.0,-34.0
96.0,-34.0
97.0,-34.0
98.0,-34.0
99.0,-34.0
100.0,-34.0
101.0,-34.0
102.0,-34.0
103.0,-34.0
104.0,-34.0
105.0,-34.0
106.0,-34.0
107.0,-34.0
108.0,-34.0
109.0,-34.0
110.0,-34.0
111.0,-34.0
112.0,-34.0
113.0,-34.0
114.0,-34.0
115.0,-34.0
116.0,-34.0
117.0,-34.0
118.0,-34.0
119.0,-34.0
120.0,-34.0
121.0,-34.0
122.0,-34.0
123.0,-34.0
124.0,-34.0
125.0,-34.0
126.0,-34.0301724137931
127.0,-34.286637931034484
128.0,-34.588362068965516
129.0,-34.890086206896555
130.0,-35.19181034482758
131.0,-35.49353448275862
132.0,-35.79525862068966
133.0,-36.09698275862068
134.0,-36.39870689655173
135.0,-45.37011494252873
136.0,-57.80499999999999
137.0,-69.1497619047619
138.0,-70.0
139.0,-70.0
140.0,-70.0
141.0,-70.0
142.0,-70.0
143.0,-69.935
144.0,-68.375
145.0,-68.365
146.0,-82.5
147.0,-82.5
148.0,-82.5
149.0,-82.5
150.0,-82.5
151.0,-82.5
152.0,-82.5
153.0,-82.5
154.0,-82.5
155.0,-78.5
156.0,-19.17651515151515
157.0,1.0
158.0,1.0
159.0,1.0
160.0,1.0
161.0,1.0
162.0,1.0
163.0,-13.413095238095238
164.0,-42.333333333333336
165.0,-42.333333333333336
166.0,-42.333333333333336
167.0,-42.333333333333336
168.0,-42.333333333333336
169.0,-42.333333333333336
170.0,-42.333333333333336
171.0,-42.029333333333334
172.0,-40.144533333333335
173.0,-36.65866666666667
