Time,Value
0.0,-99.98588176795582
179.23641556461246,-99.98588176795582
182.0,-95.92823359418244
182.00001,
192.83120053721072,
192.99999,
193.0,-80.02526333685313
206.83055290144267,-80.02526333685316
208.86366112933925,-99.97112243423227
285.6931966755987,-99.97112243423223
286.999996298464,-90.5000268268127
286.99999999332886,-90.50002682681273
288.971486797311,-99.51625874619663
311.9637019275958,-99.51625874619651
313.99999999997686,-87.04217166920944
318.8101409757224,-87.04217166920948
322.0,-99.9145829991453
558.0,-99.9145829991453
