Time(sec),Data
15.0,-11.317999999999998
16.0,-11.317999999999998
17.0,-11.317999999999998
18.0,-11.317999999999998
19.0,-11.317999999999998
20.0,-11.317999999999998
21.0,-11.317999999999998
22.0,-11.317999999999998
23.0,-11.317999999999998
24.0,-11.317999999999998
25.0,-11.317999999999998
26.0,-11.317999999999998
27.0,-11.317999999999998
28.0,-11.317999999999998
29.0,-11.317999999999998
30.0,-11.317999999999998
31.0,-11.317999999999998
32.0,-11.317999999999998
33.0,-11.317999999999998
34.0,-11.317999999999998
35.0,-11.317999999999998
36.0,-11.317999999999998
37.0,-11.317999999999998
38.0,-11.317999999999998
39.0,-11.317999999999998
40.0,-11.317999999999998
41.0,-11.317999999999998
42.0,-11.317999999999998
43.0,-11.317999999999998
44.0,-11.317999999999998
45.0,-11.317999999999998
46.0,-11.317999999999998
47.0,-11.317999999999998
48.0,-11.317999999999998
49.0,-11.317999999999998
50.0,-11.317999999999998
51.0,-11.317999999999998
52.0,-11.317999999999998
53.0,-11.317999999999998
54.0,-11.317999999999998
55.0,-11.317999999999998
56.0,-11.317999999999998
57.0,-11.317999999999998
58.0,-11.317999999999998
59.0,-11.317999999999998
60.0,-11.317999999999998
61.0,-11.317999999999998
62.0,-11.317999999999998
63.0,-11.317999999999998
64.0,-11.317999999999998
65.0,-11.317999999999998
66.0,-11.317999999999998
67.0,-11.317999999999998
68.0,-11.317999999999998
69.0,-11.317999999999998
70.0,-11.317999999999998
71.0,-11.317999999999998
72.0,-11.317999999999998
73.0,-11.317999999999998
74.0,-11.317999999999998
75.0,-11.317999999999998
76.0,-11.317999999999998
77.0,-11.317999999999998
78.0,-11.317999999999998
79.0,-11.317999999999998
80.0,-11.317999999999998
81.0,-11.317999999999998
82.0,-11.317999999999998
83.0,-11.317999999999998
84.0,-11.317999999999998
85.0,-11.317999999999998
86.0,-11.317999999999998
87.0,-11.317999999999998
88.0,-11.317999999999998
89.0,-11.317999999999998
90.0,-11.317999999999998
91.0,-11.317999999999998
92.0,-11.317999999999998
93.0,-11.317999999999998
94.0,-11.317999999999998
95.0,-11.317999999999998
96.0,-11.317999999999998
97.0,-11.317999999999998
98.0,-11.317999999999998
99.0,-11.317999999999998
100.0,-11.317999999999998
101.0,-11.317999999999998
102.0,-11.317999999999998
103.0,-11.317999999999998
104.0,-11.317999999999998
