,A1L7EVNM2HF85,A3ST8XFT4X93K,A3SLISG1IED7T
28628,-100.0,-100.0,-100.0
28697,-100.0,-100.0,-100.0
28704,-100.0,-100.0,-100.0
28722,-100.0,-100.0,-100.0
28739,-100.0,-100.0,-100.0
28756,-100.0,-100.0,-100.0
28774,-100.0,-100.0,-100.0
28792,-100.0,-100.0,-100.0
28809,-100.0,-100.0,-100.0
28896,-100.0,-100.0,-100.0
28904,-100.0,-100.0,-100.0
28922,-100.0,-100.0,-100.0
28938,-100.0,-100.0,-100.0
28956,-100.0,-100.0,-100.0
28974,-100.0,-100.0,-100.0
28992,-100.0,-100.0,-100.0
29009,-100.0,-100.0,-100.0
29096,-100.0,-100.0,-100.0
29114,-100.0,-100.0,-100.0
29121,-100.0,-100.0,-100.0
29137,-100.0,-100.0,-100.0
29155,-100.0,-100.0,-100.0
29173,-100.0,-100.0,-100.0
29190,-100.0,-100.0,-100.0
29209,-100.0,-100.0,-100.0
29243,-100.0,-100.0,-100.0
29314,-100.0,-100.0,-100.0
29330,-100.0,-100.0,-100.0
29355,-100.0,-100.0,-100.0
29373,-100.0,-100.0,-100.0
29390,-100.0,-100.0,-100.0
29407,-100.0,-100.0,-100.0
29425,-100.0,-100.0,-100.0
29442,-100.0,-100.0,-100.0
29547,-100.0,-100.0,-100.0
29554,-100.0,-100.0,-100.0
29572,-100.0,-100.0,-100.0
29588,-100.0,-100.0,-100.0
29606,-100.0,-100.0,-100.0
29624,-100.0,-100.0,-100.0
29641,-100.0,-100.0,-100.0
29746,-100.0,-100.0,-100.0
29754,-100.0,-100.0,-100.0
29771,-100.0,-100.0,-100.0
29788,-100.0,-100.0,-100.0
29806,-100.0,-100.0,-100.0
29824,-100.0,-100.0,-100.0
29841,-100.0,-100.0,-100.0
29929,-100.0,-100.0,-100.0
29946,-100.0,-100.0,-100.0
29964,-100.0,-100.0,-100.0
29981,-100.0,-100.0,-100.0
29987,-100.0,-100.0,-100.0
30005,-100.0,-100.0,-100.0
30023,-100.0,-100.0,-100.0
30041,-100.0,-100.0,-100.0
30110,-100.0,-100.0,-100.0
30128,-100.0,-100.0,-100.0
30144,-100.0,-100.0,-100.0
30163,-100.0,-100.0,-100.0
30181,-100.0,-100.0,-100.0
30187,-100.0,-100.0,-100.0
30205,-100.0,-100.0,-100.0
30223,-100.0,-100.0,-100.0
30310,-100.0,-100.0,-100.0
30328,-100.0,-100.0,-100.0
30344,-100.0,-100.0,-100.0
30362,-100.0,-100.0,-100.0
62853,-100.0,-100.0,-100.0
62870,-100.0,-100.0,-100.0
62887,-100.0,-100.0,-100.0
62904,-100.0,-100.0,-100.0
62920,-100.0,-100.0,-100.0
62936,-100.0,-100.0,-100.0
62953,-100.0,-100.0,-100.0
64286,-100.0,-100.0,-100.0
64303,-100.0,-100.0,-100.0
64319,-100.0,-100.0,-100.0
64336,-100.0,-100.0,-100.0
64353,-100.0,-100.0,-100.0
64369,-100.0,-100.0,-100.0
64969,-100.0,-100.0,-100.0
64986,-100.0,-100.0,-100.0
65021,-100.0,-100.0,-100.0
65038,-100.0,-100.0,-100.0
65074,-100.0,-100.0,-100.0
65108,-100.0,-100.0,-100.0
65127,-100.0,-100.0,-100.0
65203,-100.0,-100.0,-100.0
65221,-100.0,-100.0,-100.0
65256,-100.0,-100.0,-100.0
65274,-100.0,-100.0,-100.0
65290,-100.0,-100.0,-100.0
65326,-100.0,-100.0,-100.0
65402,-100.0,-100.0,-100.0
65420,-100.0,-100.0,-100.0
65455,-100.0,-100.0,-100.0
65474,-100.0,-100.0,-100.0
65507,-100.0,-100.0,-100.0
65619,-100.0,-100.0,-100.0
65637,-100.0,-100.0,-100.0
65655,-100.0,-100.0,-100.0
65672,-100.0,-100.0,-100.0
65689,-100.0,-100.0,-100.0
65707,-100.0,-100.0,-100.0
65725,-100.0,-100.0,-100.0
65742,-100.0,-100.0,-100.0
65836,-100.0,-100.0,-100.0
65853,-100.0,-100.0,-100.0
65870,-100.0,-100.0,-100.0
65888,-100.0,-100.0,-100.0
65906,-100.0,-100.0,-100.0
65923,-100.0,-100.0,-100.0
65940,-100.0,-100.0,-100.0
65958,-100.0,-100.0,-100.0
66035,-100.0,-100.0,-100.0
66053,-100.0,-100.0,-100.0
66060,-100.0,-100.0,-100.0
66070,-100.0,-100.0,-100.0
66079,-100.0,-100.0,-100.0
66088,-100.0,-100.0,-100.0
66106,-100.0,-100.0,-100.0
66115,-100.0,-100.0,-100.0
66122,-100.0,-100.0,-100.0
66140,-100.0,-100.0,-100.0
66147,-100.0,-100.0,-100.0
66158,-100.0,-100.0,-100.0
66165,-100.0,-100.0,-100.0
66176,-100.0,-100.0,-100.0
66190,-100.0,-100.0,-100.0
66242,-100.0,-100.0,-100.0
66269,-100.0,-100.0,-100.0
66278,-100.0,-100.0,-100.0
66287,-100.0,-100.0,-100.0
66299,-100.0,-100.0,-100.0
66306,-100.0,-100.0,-100.0
66321,-100.0,-100.0,-100.0
66329,-100.0,-100.0,-100.0
66341,-100.0,-100.0,-100.0
66357,-100.0,-100.0,-100.0
66364,-100.0,-100.0,-100.0
66374,-100.0,-100.0,-100.0
66385,-100.0,-100.0,-100.0
66393,-100.0,-100.0,-100.0
66460,-100.0,-100.0,-100.0
66487,-100.0,-100.0,-100.0
66496,-100.0,-100.0,-100.0
66504,-100.0,-100.0,-100.0
66515,-100.0,-100.0,-100.0
66521,-100.0,-100.0,-100.0
66539,-100.0,-100.0,-100.0
66545,-100.0,-100.0,-100.0
66558,-100.0,-100.0,-100.0
66563,-100.0,-100.0,-100.0
66574,-100.0,-100.0,-100.0
66581,-100.0,-100.0,-100.0
66591,-100.0,-100.0,-100.0
66601,-100.0,-100.0,-100.0
66609,-100.0,-100.0,-100.0
66675,-100.0,-100.0,-100.0
66695,-100.0,-100.0,-100.0
66703,-100.0,-100.0,-100.0
66716,-100.0,-100.0,-100.0
66720,-100.0,-100.0,-100.0
66728,-100.0,-100.0,-100.0
66738,-100.0,-100.0,-100.0
66748,-100.0,-100.0,-100.0
66756,-100.0,-100.0,-100.0
66765,-100.0,-100.0,-100.0
66772,-100.0,-100.0,-100.0
66782,-100.0,-100.0,-100.0
66791,-100.0,-100.0,-100.0
66808,-100.0,-100.0,-100.0
66809,-100.0,-100.0,-100.0
66825,-100.0,-100.0,-100.0
66893,-100.0,-100.0,-100.0
66910,-100.0,-100.0,-100.0
66920,-100.0,-100.0,-100.0
66932,-100.0,-100.0,-100.0
66938,-100.0,-100.0,-100.0
66946,-100.0,-100.0,-100.0
66958,-100.0,-100.0,-100.0
66964,-100.0,-100.0,-100.0
66974,-100.0,-100.0,-100.0
66980,-100.0,-100.0,-100.0
66990,-100.0,-100.0,-100.0
66999,-100.0,-100.0,-100.0
67010,-100.0,-100.0,-100.0
67015,-100.0,-100.0,-100.0
67025,-100.0,-100.0,-100.0
67044,-100.0,-100.0,-100.0
67060,-100.0,-100.0,-100.0
67109,-100.0,-100.0,-100.0
67119,-100.0,-100.0,-100.0
67127,-100.0,-100.0,-100.0
67138,-100.0,-100.0,-100.0
67144,-100.0,-100.0,-100.0
67154,-100.0,-100.0,-100.0
67163,-100.0,-100.0,-100.0
67172,-100.0,-100.0,-100.0
67183,-100.0,-100.0,-100.0
67189,-100.0,-100.0,-100.0
67199,-100.0,-100.0,-100.0
67207,-100.0,-100.0,-100.0
67215,-100.0,-100.0,-100.0
67226,-100.0,-100.0,-100.0
67242,-100.0,-100.0,-100.0
67259,-100.0,-100.0,-100.0
67292,-100.0,-100.0,-100.0
67309,-100.0,-100.0,-100.0
67327,-100.0,-100.0,-100.0
67344,-100.0,-100.0,-100.0
67354,-100.0,-100.0,-100.0
67362,-100.0,-100.0,-100.0
67371,-100.0,-100.0,-100.0
67379,-100.0,-100.0,-100.0
67391,-100.0,-100.0,-100.0
67396,-100.0,-100.0,-100.0
67407,-100.0,-100.0,-100.0
67414,-100.0,-100.0,-100.0
67427,-100.0,-100.0,-100.0
67441,-100.0,-100.0,-100.0
67459,-100.0,-100.0,-100.0
67476,-100.0,-100.0,-100.0
67525,-100.0,-100.0,-100.0
67545,-100.0,-100.0,-100.0
67562,-100.0,-100.0,-100.0
67570,-100.0,-100.0,-100.0
67579,-100.0,-100.0,-100.0
67589,-100.0,-100.0,-100.0
67598,-100.0,-100.0,-100.0
67605,-100.0,-100.0,-100.0
67617,-100.0,-100.0,-100.0
67622,-100.0,-100.0,-100.0
67630,-100.0,-100.0,-100.0
67641,-100.0,-100.0,-100.0
67648,-100.0,-100.0,-100.0
67658,-100.0,-100.0,-100.0
67666,-100.0,-100.0,-100.0
67676,-100.0,-100.0,-100.0
67694,-100.0,-100.0,-100.0
67743,-100.0,-100.0,-100.0
67760,-100.0,-100.0,-100.0
67776,-100.0,-100.0,-100.0
67787,-100.0,-100.0,-100.0
67795,-100.0,-100.0,-100.0
67805,-100.0,-100.0,-100.0
67813,-100.0,-100.0,-100.0
67822,-100.0,-100.0,-100.0
67829,-100.0,-100.0,-100.0
67840,-100.0,-100.0,-100.0
67846,-100.0,-100.0,-100.0
67858,-100.0,-100.0,-100.0
67865,-100.0,-100.0,-100.0
67875,-100.0,-100.0,-100.0
67882,-100.0,-100.0,-100.0
67889,-100.0,-100.0,-100.0
67892,-100.0,-100.0,-100.0
67910,-100.0,-100.0,-100.0
67929,-100.0,-100.0,-100.0
67943,-100.0,-100.0,-100.0
67961,-100.0,-100.0,-100.0
67976,-100.0,-100.0,-100.0
67995,-100.0,-100.0,-100.0
68005,-100.0,-100.0,-100.0
68011,-100.0,-100.0,-100.0
68021,-100.0,-100.0,-100.0
68028,-100.0,-100.0,-100.0
68040,-100.0,-100.0,-100.0
68047,-100.0,-100.0,-100.0
68057,-100.0,-100.0,-100.0
68065,-100.0,-100.0,-100.0
68074,-100.0,-100.0,-100.0
68084,-100.0,-100.0,-100.0
68092,-100.0,-100.0,-100.0
68109,-100.0,-100.0,-100.0
68123,-100.0,-100.0,-100.0
68127,-100.0,-100.0,-100.0
68142,-100.0,-100.0,-100.0
68159,-100.0,-100.0,-100.0
68175,-100.0,-100.0,-100.0
68194,-100.0,-100.0,-100.0
68211,-100.0,-100.0,-100.0
68221,-100.0,-100.0,-100.0
68228,-100.0,-100.0,-100.0
68239,-100.0,-100.0,-100.0
68246,-100.0,-100.0,-100.0
68258,-100.0,-100.0,-100.0
68264,-100.0,-100.0,-100.0
68273,-100.0,-100.0,-100.0
68291,-100.0,-100.0,-100.0
68309,-100.0,-100.0,-100.0
68323,-100.0,-100.0,-100.0
68326,-100.0,-100.0,-100.0
68344,-100.0,-100.0,-100.0
68361,-100.0,-100.0,-100.0
68363,-100.0,-100.0,-100.0
68376,-100.0,-100.0,-100.0
68392,-100.0,-100.0,-100.0
68411,-100.0,-100.0,-100.0
68427,-100.0,-100.0,-100.0
68445,-100.0,-100.0,-100.0
68455,-100.0,-100.0,-100.0
68463,-100.0,-100.0,-100.0
68472,-100.0,-100.0,-100.0
68479,-100.0,-100.0,-100.0
68491,-100.0,-100.0,-100.0
68509,-100.0,-100.0,-100.0
68525,-100.0,-100.0,-100.0
68542,-100.0,-100.0,-100.0
68557,-100.0,-100.0,-100.0
68561,-100.0,-100.0,-100.0
68575,-100.0,-100.0,-100.0
68578,-100.0,-100.0,-100.0
68591,-100.0,-100.0,-100.0
68610,-100.0,-100.0,-100.0
68627,-100.0,-100.0,-100.0
68647,-100.0,-100.0,-100.0
68663,-100.0,-100.0,-100.0
68672,-100.0,-100.0,-100.0
68679,-100.0,-100.0,-100.0
68690,-100.0,-100.0,-100.0
68696,-100.0,-100.0,-100.0
68708,-100.0,-100.0,-100.0
68718,-100.0,-100.0,-100.0
68725,-100.0,-100.0,-100.0
68733,-100.0,-100.0,-100.0
68742,-100.0,-100.0,-100.0
68760,-100.0,-100.0,-100.0
68777,-100.0,-100.0,-100.0
68795,-100.0,-100.0,-100.0
68878,-100.0,-100.0,-100.0
68890,-100.0,-100.0,-100.0
68898,-100.0,-100.0,-100.0
68906,-100.0,-100.0,-100.0
68915,-100.0,-100.0,-100.0
68927,-100.0,-100.0,-100.0
68931,-100.0,-100.0,-100.0
68941,-100.0,-100.0,-100.0
68948,-100.0,-100.0,-100.0
68956,-100.0,-100.0,-100.0
68960,-100.0,-100.0,-100.0
68973,-100.0,-100.0,-100.0
68977,-100.0,-100.0,-100.0
68991,-100.0,-100.0,-100.0
68995,-100.0,-100.0,-100.0
69009,-100.0,-100.0,-100.0
69088,-100.0,-100.0,-100.0
69096,-100.0,-100.0,-100.0
69105,-100.0,-100.0,-100.0
69116,-100.0,-100.0,-100.0
69124,-100.0,-100.0,-100.0
69138,-100.0,-100.0,-100.0
69141,-100.0,-100.0,-100.0
69147,-100.0,-100.0,-100.0
69159,-100.0,-100.0,-100.0
69166,-100.0,-100.0,-100.0
69172,-100.0,-100.0,-100.0
69176,-100.0,-100.0,-100.0
69190,-100.0,-100.0,-100.0
69193,-100.0,-100.0,-100.0
69208,-100.0,-100.0,-100.0
69210,-100.0,-100.0,-100.0
69225,-100.0,-100.0,-100.0
69305,-100.0,-100.0,-100.0
69314,-100.0,-100.0,-100.0
69322,-100.0,-100.0,-100.0
69333,-100.0,-100.0,-100.0
69342,-100.0,-100.0,-100.0
69348,-100.0,-100.0,-100.0
69358,-100.0,-100.0,-100.0
69365,-100.0,-100.0,-100.0
69375,-100.0,-100.0,-100.0
69377,-100.0,-100.0,-100.0
69390,-100.0,-100.0,-100.0
69397,-100.0,-100.0,-100.0
69407,-100.0,-100.0,-100.0
69412,-100.0,-100.0,-100.0
69424,-100.0,-100.0,-100.0
69472,-100.0,-100.0,-100.0
69500,-100.0,-100.0,-100.0
69529,-100.0,-100.0,-100.0
69532,-100.0,-100.0,-100.0
69540,-100.0,-100.0,-100.0
69549,-100.0,-100.0,-100.0
69556,-100.0,-100.0,-100.0
69565,-100.0,-100.0,-100.0
69574,-100.0,-100.0,-100.0
69581,-100.0,-100.0,-100.0
69592,-100.0,-100.0,-100.0
69599,-100.0,-100.0,-100.0
69606,-100.0,-100.0,-100.0
69609,-100.0,-100.0,-100.0
69624,-100.0,-100.0,-100.0
69627,-100.0,-100.0,-100.0
69641,-100.0,-100.0,-100.0
69704,-100.0,-100.0,-100.0
69722,-100.0,-100.0,-100.0
69739,-100.0,-100.0,-100.0
69757,-100.0,-100.0,-100.0
69764,-100.0,-100.0,-100.0
69774,-100.0,-100.0,-100.0
69783,-100.0,-100.0,-100.0
69792,-100.0,-100.0,-100.0
69798,-100.0,-100.0,-100.0
69806,-100.0,-100.0,-100.0
69808,-100.0,-100.0,-100.0
