Time,Value
0.0,-99.97222333333332
1.9999999999746767,-99.97222333333332
3.9999999999937823,-60.36259533355332
3.9999999999937823,-60.36259533355332
4.0,-60.3625953335373
4.00001,
15.99999,
16.0,-29.43398397161312
16.0,-29.43398397161312
16.00001,
17.99999,
18.0,-24.279215411292427
19.66029390503708,-20.000000000003816
52.94184714166982,-20.000000000003816
55.0,-9.651995501827173
55.00001,
57.99999,
58.0,5.431438835366091
59.52552413095845,13.101486521737966
81.12181421385715,13.101486521737945
84.0,45.03423805885792
84.00001,
86.99999,
87.0,78.31848783612551
87.43155971934017,83.1065350002341
88.0,83.1065350002341
88.00001,
91.76390460649864,
91.99999,
92.0,72.10902599996395
95.69485018994688,-99.99999999997273
163.9999999155756,-99.99999999997269
165.0,-97.19376464750142
165.00001,
174.99999,
175.0,-69.13141349193633
177.32279822181016,-62.61309555554044
194.0,-62.61309555554041
194.00001,
196.2256453599308,
196.99999,
197.0,-73.58311833289603
198.86208760631192,-99.96268965288981
399.9051312434371,-99.96268965288964
402.9999999999809,79.57234600052834
402.99999999999517,79.57234600052945
403.9986195779803,99.97180121665589
443.28317816020933,99.97180121665517
444.0,93.03037005707257
444.00001,
445.99999,
446.0,73.66312767056915
448.0,54.29588528406574
448.00001,
451.48604665655347,
451.99999,
451.99999999993014,20.53833000000047
452.0,20.538329999809715
452.0,20.538329999809715
452.00001,
459.99999,
460.0,-1.3058949796196444
461.8024370377121,-6.227499999999509
480.3608142691692,-6.227499999999536
483.0,-37.214067500081015
483.00001,
484.99999,
485.0,-60.69598249992257
486.70712801747226,-80.73929999998836
488.8258201937314,-80.73929999998816
489.9999999997476,-63.8544300030826
490.0,-63.8544300030826
490.00001,
494.99999,
494.9999999999529,-63.854430003082435
495.0,-63.85443000350098
496.0,-72.73640115618345
496.00001,
497.99999,
498.0,-90.50034346154838
498.9999999997463,-99.38231461197756
507.1034018305956,-99.3823146119778
509.0,-96.83348568831602
509.00001,
525.99999,
526.0,-73.98726955184377
533.4315843537304,-63.99999999997613
540.0,-63.99999999997612
