Time,Value
0.0,-99.99977272727271
218.9949731192881,-99.99977272727271
219.9999965169133,-90.0486944871709
219.99999651719187,-90.04869448717098
223.85515266316074,-76.15625000032696
224.99999517228557,-76.1562500003269
225.0,-76.15619865649178
225.00001,
227.99999,
227.999998742502,-44.25053337379268
228.0,-44.25053337379268
230.0,-44.250533373792614
230.00001,
231.99999,
232.0,-44.25053337379255
233.7971770391748,-44.25053337379249
235.0,-45.37818734281378
235.00001,
288.99624336928815,
288.99999,
289.0,-95.9999996383195
289.6939397604047,-95.99999963831944
291.6939399995248,-98.99999999997523
533.0,-98.9999999999752
