,AOEGJLWFISOZQ,AJE5OG666CBAC,ACOUEGRDJO7B6,A2LV5432PV1S3
0,-100.0,-100.0,-100.0,-100.0
1,-100.0,,-100.0,-100.0
13094,-100.0,,-100.0,-100.0
13127,-100.0,,-100.0,-100.0
13225,-100.0,,-100.0,-100.0
13243,-100.0,,-100.0,-100.0
13274,-100.0,,-100.0,-100.0
13308,-100.0,,-100.0,-100.0
13341,-100.0,,-100.0,-100.0
13609,-100.0,,-100.0,-100.0
13626,-100.0,,-100.0,-100.0
13658,-100.0,,-100.0,-100.0
13674,-100.0,,-100.0,-100.0
13692,-100.0,,-100.0,-100.0
13917,-100.0,,-100.0,-100.0
13942,-100.0,,-100.0,-100.0
13986,-100.0,,-100.0,-100.0
13998,-100.0,,-100.0,-100.0
14036,-100.0,,-100.0,-100.0
14054,-100.0,,-100.0,-100.0
14080,-100.0,,-100.0,-100.0
14099,-100.0,,-100.0,-100.0
14536,-100.0,,-100.0,-100.0
14576,-100.0,,-100.0,-100.0
14621,-100.0,,-100.0,-100.0
14633,-100.0,,-100.0,-100.0
14653,-100.0,,-100.0,-100.0
14668,-100.0,,-100.0,-100.0
14870,-100.0,,-100.0,-100.0
14914,-100.0,,-100.0,-100.0
14958,-100.0,,-100.0,-100.0
14966,-100.0,,-100.0,-100.0
15280,-100.0,,-100.0,-100.0
15299,-100.0,,-100.0,-100.0
15319,-100.0,,-100.0,-100.0
15328,-100.0,,-100.0,-100.0
15345,-100.0,,-100.0,-100.0
15364,-100.0,,-100.0,-100.0
15380,-100.0,,-100.0,-100.0
15397,-100.0,,-100.0,-100.0
15412,-100.0,,-100.0,-100.0
15428,-100.0,,-100.0,-100.0
15445,-100.0,,-100.0,-100.0
15465,-100.0,,-100.0,-100.0
15480,-100.0,,-100.0,-100.0
15496,-100.0,,-100.0,-100.0
15512,-100.0,,-100.0,-100.0
15528,-100.0,,-100.0,-100.0
15544,-100.0,,-100.0,-100.0
15564,-100.0,,-100.0,-100.0
15579,-100.0,,-100.0,-100.0
15596,-100.0,,-100.0,-100.0
15613,-100.0,,-100.0,-100.0
15628,-100.0,,-100.0,-100.0
15651,-100.0,,-100.0,-100.0
15664,-100.0,,-100.0,-100.0
15681,-100.0,,-100.0,-100.0
15895,-100.0,,-100.0,-100.0
15913,-100.0,,-100.0,-100.0
15929,-100.0,,-100.0,-100.0
15953,-100.0,,-100.0,-100.0
15971,-100.0,,-100.0,-100.0
16008,-100.0,,-100.0,-100.0
16025,-100.0,,-100.0,-100.0
16052,-100.0,,-100.0,-100.0
16247,-100.0,,-100.0,-100.0
16272,-100.0,,-100.0,-100.0
16322,-100.0,,-100.0,-100.0
16345,-100.0,,-100.0,-100.0
16368,-100.0,,-100.0,-100.0
16415,-100.0,,-100.0,-100.0
17891,-100.0,,-100.0,-100.0
17911,-100.0,,-100.0,-100.0
17942,-100.0,,-100.0,-100.0
17992,-100.0,,-100.0,-100.0
18026,-100.0,,-100.0,-100.0
18058,-100.0,,-100.0,-100.0
18075,-100.0,,-100.0,-100.0
18108,-100.0,,-100.0,-100.0
19406,-100.0,,-100.0,-100.0
19430,-100.0,,-100.0,-100.0
19449,-100.0,,-100.0,-100.0
19464,-100.0,,-100.0,-100.0
19518,-100.0,,-100.0,-100.0
19527,-100.0,,-100.0,-100.0
19556,-100.0,,-100.0,-100.0
19577,-100.0,,-100.0,-100.0
19597,-100.0,,-100.0,-100.0
19610,-100.0,,-100.0,-100.0
19634,-100.0,,-100.0,-100.0
19650,-100.0,,-100.0,-100.0
19676,-100.0,,-100.0,-100.0
19690,-100.0,,-100.0,-100.0
19708,-100.0,,-100.0,-100.0
19735,-100.0,,-100.0,-100.0
19765,-100.0,,-100.0,-100.0
19835,-100.0,,-100.0,-100.0
19854,-100.0,,-100.0,-100.0
19882,-100.0,,-100.0,-100.0
19905,-100.0,,-100.0,-100.0
19917,-100.0,,-100.0,-100.0
19940,-100.0,,-100.0,-100.0
20301,-100.0,,-100.0,-100.0
20334,-100.0,,-100.0,-100.0
26076,-100.0,,-100.0,-100.0
26109,-100.0,,-100.0,-100.0
26840,-100.0,,-100.0,-100.0
26858,-100.0,,-100.0,-100.0
26908,-100.0,,-100.0,-100.0
26957,-100.0,,-100.0,-100.0
27065,-100.0,,-100.0,-100.0
27089,-100.0,,-100.0,-100.0
27115,-100.0,,-100.0,-100.0
27124,-100.0,,-100.0,-100.0
27133,-100.0,,-100.0,-100.0
27148,-100.0,,-100.0,-100.0
27160,-100.0,,-100.0,-100.0
27164,-100.0,,-100.0,-100.0
27191,-100.0,,-100.0,-100.0
27223,-100.0,,-100.0,-100.0
27241,-100.0,,-100.0,-100.0
27274,-100.0,,-100.0,-100.0
27424,-100.0,,-100.0,-100.0
27458,-100.0,,-100.0,-100.0
27493,-100.0,,-100.0,-100.0
27959,-100.0,,-100.0,-100.0
27979,-100.0,,-100.0,-100.0
27997,-100.0,,-100.0,-100.0
28007,-100.0,,-100.0,-100.0
28026,-100.0,,-100.0,-100.0
28045,-100.0,,-100.0,-100.0
28308,-100.0,,-100.0,-100.0
28328,-100.0,,-100.0,-100.0
28345,-100.0,,-100.0,-100.0
28358,-100.0,,-100.0,-100.0
28377,-100.0,,-100.0,-100.0
28395,-100.0,,-100.0,-100.0
28627,-100.0,,-100.0,-100.0
