Time(sec),AYZH634E8OS41
188.0,-100.0
189.0,-100.0
190.0,-100.0
191.0,-100.0
192.0,-100.0
193.0,-87.37083333333332
194.0,-76.04999999999998
195.0,-76.04999999999998
196.0,-65.57499999999999
197.0,-59.0
198.0,-59.0
199.0,-59.0
200.0,-59.0
201.0,-59.0
202.0,-59.0
203.0,-59.0
204.0,-40.208564814814814
205.0,5.773928571428572
206.0,8.4
207.0,
208.0,
209.0,
210.0,14.642857142857142
211.0,28.075
212.0,29.529969078540507
213.0,6.974074074074075
214.0,2.4351851851851847
215.0,36.72888888888889
216.0,53.02
217.0,64.02597222222222
218.0,65.0
219.0,65.0
220.0,63.94351851851851
221.0,45.772222222222226
222.0,33.17918470418471
223.0,-5.4625
224.0,-6.0
225.0,-6.0
226.0,
227.0,-6.0
228.0,-6.0
229.0,-6.0
230.0,-6.0
231.0,-6.0
232.0,-6.175
233.0,-16.833522366522367
234.0,-19.616428571428568
235.0,-20.287857142857142
236.0,-20.959285714285716
237.0,-21.630714285714284
238.0,-33.45164609053498
239.0,
240.0,
241.0,
242.0,
243.0,-97.60016835016835
244.0,-97.7121212121212
245.0,
246.0,
247.0,
248.0,
249.0,
250.0,
251.0,
252.0,
253.0,
254.0,
255.0,
256.0,
257.0,
258.0,
259.0,
260.0,
261.0,
262.0,
263.0,
264.0,-86.65068493150685
265.0,
266.0,
267.0,
268.0,
269.0,
270.0,
271.0,
272.0,-100.0
273.0,-100.0
274.0,-100.0
275.0,-100.0
276.0,-100.0
277.0,-100.0
278.0,-100.0
279.0,-100.0
280.0,-100.0
281.0,-100.0
282.0,-100.0
283.0,-100.0
284.0,-100.0
285.0,-100.0
286.0,-100.0
287.0,-100.0
288.0,-100.0
289.0,-100.0
290.0,-100.0
291.0,-100.0
292.0,-100.0
293.0,-100.0
294.0,-100.0
295.0,-100.0
296.0,-100.0
297.0,-100.0
298.0,-100.0
299.0,-100.0
300.0,-100.0
301.0,-100.0
302.0,-100.0
303.0,-100.0
304.0,-100.0
305.0,-100.0
306.0,-100.0
307.0,-100.0
308.0,-100.0
309.0,-100.0
310.0,-100.0
311.0,-100.0
312.0,-100.0
313.0,-100.0
314.0,-100.0
315.0,-100.0
316.0,-100.0
317.0,-100.0
318.0,-100.0
319.0,-100.0
320.0,-100.0
321.0,-100.0
322.0,-100.0
323.0,-100.0
324.0,-100.0
325.0,-100.0
326.0,-100.0
327.0,-100.0
328.0,-100.0
329.0,-100.0
330.0,-100.0
331.0,-100.0
332.0,-100.0
333.0,-100.0
334.0,-100.0
335.0,-100.0
336.0,-100.0
337.0,-100.0
338.0,-100.0
339.0,-100.0
340.0,-100.0
341.0,-100.0
342.0,-100.0
343.0,-100.0
344.0,-100.0
345.0,-100.0
346.0,-100.0
347.0,-99.97777777777777
348.0,-99.38888888888889
349.0,-99.0
350.0,-99.0
351.0,-99.0
352.0,-99.0
353.0,-99.0
354.0,-99.0
355.0,-99.0
356.0,-99.0
357.0,-99.0
358.0,-99.0
359.0,-99.0
360.0,-99.0
361.0,-99.0
362.0,-99.0
363.0,-99.0
364.0,-99.0
365.0,-99.0
366.0,-99.0
367.0,-99.0
368.0,-99.0
369.0,-99.0
370.0,-99.0
371.0,-99.0
372.0,-99.0
373.0,-99.0
374.0,-99.0
375.0,-99.0
376.0,-99.0
377.0,-99.0
378.0,-99.0
379.0,-99.0
380.0,-99.0
381.0,-99.0
382.0,-99.0
383.0,-99.0
384.0,-99.0
385.0,-99.0
386.0,-99.0
387.0,-99.0
388.0,-99.0
389.0,-99.0
390.0,-99.0
391.0,-99.0
392.0,-99.0
393.0,-99.0
394.0,-99.0
395.0,-99.0
396.0,-99.0
397.0,-99.0
398.0,-99.0
399.0,-99.0
400.0,-99.0
401.0,-99.0
402.0,-99.0
403.0,-99.0
404.0,-99.0
405.0,-99.0
406.0,-99.0
407.0,-99.0
408.0,-99.0
409.0,-99.0
410.0,-99.0
411.0,-99.0
412.0,-99.0
413.0,-99.0
414.0,-99.0
415.0,-99.0
416.0,-99.0
417.0,-99.0
418.0,-99.0
419.0,-99.0
420.0,-99.0
421.0,-99.0
422.0,-99.0
423.0,-99.0
424.0,
425.0,
426.0,
427.0,
428.0,
429.0,
430.0,
431.0,
432.0,
433.0,
434.0,-81.35176991150443
435.0,-81.0420353982301
436.0,-80.77654867256638
437.0,
438.0,-79.55973451327434
439.0,-77.72091713596139
440.0,-74.8625
441.0,-64.43945454545454
442.0,-61.040000000000006
443.0,-57.48266666666666
444.0,-55.0
445.0,-55.0
446.0,-55.0
447.0,-55.0
448.0,-55.0
449.0,-55.0
450.0,-51.955555555555556
451.0,-48.0
452.0,-48.0
453.0,-48.0
454.0,-48.0
455.0,-48.0
456.0,-48.0
457.0,-48.0
458.0,-48.0
459.0,
460.0,
461.0,
462.0,
463.0,
464.0,-41.50720338983051
465.0,-40.90381355932203
466.0,-40.14957627118644
467.0,-39.39533898305085
468.0,-38.64110169491526
469.0,-36.184316737288135
470.0,-33.7734375
471.0,-33.0
472.0,-33.0
473.0,-23.85
474.0,-23.0
475.0,-23.0
476.0,-23.0
477.0,-20.875
478.0,-16.0
479.0,-16.0
480.0,-16.0
481.0,-8.4
482.0,-7.0
483.0,-7.0
484.0,-7.0
485.0,-7.0
486.0,-7.0
487.0,-7.0
488.0,-7.0
489.0,-7.0
490.0,-7.55
491.0,-21.9875
492.0,-27.13212669683258
493.0,-34.338235294117645
494.0,-36.71617647058824
495.0,-38.0
496.0,-41.595454545454544
497.0,-44.8939393939394
498.0,
499.0,-50.149425287356316
500.0,-50.4712643678161
501.0,-51.9444739168877
502.0,-55.35897435897435
503.0,-56.72649572649573
504.0,-58.09401709401709
505.0,-60.379487179487185
506.0,-63.0
507.0,
508.0,
509.0,
510.0,-63.0
511.0,-63.0
512.0,-63.0
513.0,-63.0
514.0,-63.0
515.0,-63.0
516.0,-63.0
517.0,-63.0
518.0,-63.0
519.0,-63.0
520.0,-63.854888429752066
521.0,-64.72948238364505
522.0,-57.0
523.0,-57.0
524.0,-57.0
525.0,-54.76190476190476
526.0,-51.0
527.0,-47.775
528.0,-42.0
529.0,-42.0
530.0,-36.16571428571429
531.0,-31.96428571428571
532.0,-31.66071428571429
533.0,-25.39732142857143
534.0,-24.058035714285715
535.0,-22.50714285714286
536.0,-20.0
537.0,-20.0
538.0,-20.0
539.0,
540.0,-15.0
541.0,-15.0
542.0,-15.0
543.0,-10.698076923076922
544.0,1.7
545.0,5.0
546.0,5.25
547.0,5.25
548.0,
549.0,5.25
550.0,5.25
551.0,5.25
552.0,5.25
553.0,5.25
554.0,5.25
555.0,5.25
556.0,14.225944055944058
557.0,15.0
558.0,20.35
559.0,23.0
560.0,25.4
561.0,31.01904761904762
562.0,31.833333333333332
563.0,35.48095238095237
564.0,40.93333333333334
565.0,41.0
566.0,41.0
567.0,41.0
568.0,41.0
569.0,41.175
570.0,52.45
571.0,53.0
572.0,53.54625
573.0,60.0
574.0,60.0
575.0,60.0
576.0,60.0
577.0,60.0
578.0,60.025
579.0,65.07758620689657
580.0,65.24999999999999
581.0,65.42241379310344
582.0,65.59482758620692
583.0,65.76724137931033
584.0,65.93793103448276
585.0,66.0
586.0,66.0
587.0,66.0
588.0,66.0
589.0,66.0
590.0,66.0
591.0,66.0
592.0,66.0
593.0,68.45904761904762
594.0,77.70000000000002
595.0,82.3557142857143
596.0,85.0
597.0,85.0
598.0,85.0
